0.041647363,0.07678995,0.17147821,0.35794583,0.0,0.0;0.90705943,0.15024841,-0.12413393,0.9615249,0.0,1.6;0.20913719,-0.18635146,0.13938402,0.022792615,0.0,1.6;-0.2297753,0.17813197,0.03121722,0.4012957,0.0,0.44
-0.13472891,0.16130137,-0.12312305,0.34233546,0.0,0.0;0.9900267,0.09360922,-0.028947003,0.7433759,0.0,1.6;-0.038560346,-0.36009467,0.4387356,0.021258026,0.0,1.6;-0.06091842,0.196129,0.036210924,0.41490608,0.0,0.44
0.1296421,0.16866177,0.16644162,0.30747274,0.0,0.0;0.98751664,0.27245137,-0.17874253,0.9486859,0.0,1.6;0.05025904,-0.092998385,0.010132745,0.35799593,0.0,1.6;-0.1345711,0.20728615,0.08885908,0.14046358,0.0,0.44
0.17418712,-0.1088216,-0.23582298,-0.06932333,0.0,0.0;0.96753734,0.063107975,-0.07621301,0.9958049,0.0,1.6;0.24726401,-0.028989047,0.24344079,-0.0011079907,0.0,1.6;-0.23909816,0.36448425,0.016036421,0.23681499,0.0,0.44
0.07949725,-0.10989037,-0.13727152,0.39469746,0.0,0.0;1.053176,-0.13833433,0.16008916,0.6558386,0.0,1.6;0.058114484,-0.23543137,0.37099606,0.046639472,0.0,1.6;-0.07796341,0.506948,0.36293656,0.09787308,0.0,0.44
0.14046168,-0.15352967,-0.20750254,0.25394627,0.0,0.0;0.79796445,0.234707,-0.24805215,1.0652943,0.0,1.6;0.08912571,-0.3120595,0.32206786,-0.00877437,0.0,1.6;-0.19549122,0.13070595,0.2006174,0.28248906,0.0,0.44
0.037663326,-0.126793,-0.088840015,0.107713975,0.0,0.0;0.95902085,-0.22972174,-0.0017415932,0.95788723,0.0,1.6;-0.018510254,-0.009192273,0.32584,0.33518803,0.0,1.6;-0.010315439,0.29436263,0.17856263,0.38355955,0.0,0.44
0.13265646,-0.003560692,-0.091208786,-0.06136158,0.0,0.0;1.0330813,-0.05555754,0.1259037,0.8845339,0.0,1.6;0.011626974,-0.40196213,0.10563888,0.085832536,0.0,1.6;-0.03398761,0.4627831,0.03755918,0.0057361275,0.0,0.44
-0.19120905,-0.19563031,-0.03781703,0.117414474,0.0,0.0;0.9563669,0.124955006,-0.22952038,0.998688,0.0,1.6;0.33532983,-0.041306317,0.2039984,-0.017871737,0.0,1.6;-0.18585739,0.18581322,0.057332456,0.0017192513,0.0,0.44
-0.23184678,-0.15998632,-0.15062997,0.25058112,0.0,0.0;0.7109678,0.086568065,0.0280466,0.787669,0.0,1.6;0.44220793,-0.21567708,0.045507804,-0.018197745,0.0,1.6;-0.23164687,0.04436034,0.45861506,0.14788355,0.0,0.44
-0.12128729,0.14409393,0.09817142,0.04556414,0.0,0.0;0.95335495,-0.15053016,0.113255344,0.89784825,0.0,1.6;-7.038712E-4,-0.28164458,0.10201458,0.38202772,0.0,1.6;-0.28611547,0.3404705,0.22116514,0.20623638,0.0,0.44
-0.06553628,0.07813571,-0.24027933,0.28646013,0.0,0.0;0.9255368,0.082849264,-0.24544601,0.96898824,0.0,1.6;0.052436855,-0.31290087,0.28371918,0.19626953,0.0,1.6;0.021457039,0.08950043,0.29883116,0.36549777,0.0,0.44
-0.06341034,0.0738128,-0.25160533,0.2917227,0.0,0.0;0.9357629,0.08835764,-0.2612584,0.9317885,0.0,1.6;0.048574537,-0.3173612,0.25763172,0.19318251,0.0,1.6;0.020091992,0.09768494,0.27557343,0.3658458,0.0,0.44
0.09519103,-0.08733982,0.13539907,0.0145713985,-0.116719306,0.09031704;0.8045799,0.008780874,-0.26828924,0.8795552,0.17221746,1.8444508;0.070314005,-0.4747246,0.14001335,0.3413316,0.1419248,1.8117568;0.01596564,0.3016147,0.45737833,0.30800486,-0.025206804,0.65857553
